iter	Passed	Remaining
0	1	120
1	2	105
2	3	109
3	4	98
4	5	96
5	5	93
6	6	92
7	7	89
8	8	87
9	9	86
10	10	85
11	11	83
12	12	81
13	13	80
14	14	83
15	15	82
16	16	81
17	17	80
18	18	78
19	19	77
20	20	76
21	21	74
22	21	73
23	22	72
24	23	70
25	24	69
26	25	68
27	26	67
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	37	55
40	37	54
41	38	52
42	39	51
43	40	50
44	40	49
45	41	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	52	36
59	53	35
60	54	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	27
69	62	26
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	83	5
94	84	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
